sexo,estilo,distancia,qt25_A_s,qt50_A_s,qt25_B_s,qt50_B_s,factor_wa_A,factor_wa_B,n_pares,factor_real,qt50_equivalente_s,brecha_s,mas_facil_en,prueba
F,MEDLEY,400,277.46,283.06,287.17,292.97,1.0201830894543358,1.0201970957969149,570,1.035035313459976,287.1808980726049,4.120898072604916,25 m,400 Combinado
F,BUTTERFLY,200,128.85,129.21,133.36,133.73,1.0027939464493598,1.0027744451109777,649,1.0289276807980048,132.5773316708229,3.3673316708228924,25 m,200 Mariposa
F,FREESTYLE,400,246.27,250.23,254.89,258.99,1.0160799122913875,1.0160853701596768,1220,1.0289911715426001,253.40965581579613,3.1796558157961385,25 m,400 Libre
M,FREESTYLE,400,222.18,228.15,229.96,236.14,1.0268701053200109,1.0268742389980865,1508,1.0374927170280253,230.51013186928665,2.360131869286647,25 m,400 Libre
M,MEDLEY,400,248.87,257.48,257.58,266.49,1.0345963756177925,1.0345911949685536,731,1.0437374367505372,259.7549358841062,2.274935884106185,25 m,400 Combinado
M,BREASTSTROKE,200,126.23,130.32,130.65,134.88,1.0324011724629643,1.0323765786452352,1157,1.0491593956160885,132.43539050861887,2.115390508618873,25 m,200 Pecho
F,BREASTSTROKE,200,141.91,145.91,146.88,151.02,1.028186879007822,1.028186274509804,1003,1.0372780691223855,147.20013078915773,1.290130789157729,25 m,200 Pecho
M,MEDLEY,200,115.25,119.05,119.28,123.22,1.0329718004338395,1.0330315224681421,1178,1.0421676286960961,120.10981920722509,1.0598192072250896,25 m,200 Combinado
M,BUTTERFLY,200,113.19,116.50999999999999,117.15,120.59,1.0293312130046823,1.0293640631668801,926,1.0373884426267632,117.42199782092332,0.9119978209233324,25 m,200 Mariposa
M,FREESTYLE,200,103.47999999999999,106.7,107.1,110.43,1.0311171240819483,1.03109243697479,2666,1.039312068553523,107.54801285391856,0.8480128539185614,25 m,200 Libre
F,MEDLEY,200,129.37,132.83,133.9,137.48,1.0267449949756513,1.0267363704256907,1041,1.0329752873131526,133.63601291970255,0.806012919702539,25 m,200 Combinado
F,FREESTYLE,200,115.6,118.22999999999999,119.65,122.37,1.022750865051903,1.0227329711659006,2122,1.0289290391415027,118.9441969247577,0.7141969247577151,25 m,200 Libre
F,BREASTSTROKE,100,64.97,66.87,67.24,69.21000000000001,1.0292442665845776,1.029298036882808,1623,1.0381679389312977,67.44977099236641,0.5797709923664058,25 m,100 Pecho
F,BUTTERFLY,100,57.4,58.33,59.41,60.37,1.0162020905923346,1.0161588958087864,1894,1.0230528644998524,58.723234422291526,0.3932344222915276,25 m,100 Mariposa
M,BACKSTROKE,200,112.11,118.07,116.03,122.2,1.0531620729640532,1.0531759027837628,995,1.0562250522714312,118.41339061015015,0.34339061015015204,25 m,200 Espalda
M,BREASTSTROKE,100,57.38,59.75,59.39,61.84,1.0413035901010805,1.0412527361508672,1904,1.046872232148902,60.069528680703996,0.3195286807039963,25 m,100 Pecho
M,FREESTYLE,100,46.89,48.34,48.53,50.03,1.0309234378332268,1.0309087162579849,4021,1.0346252213259888,48.51357662797562,0.17357662797561346,25 m,100 Libre
F,FREESTYLE,100,53.02,54.25,54.88,56.15,1.0231987929083364,1.0231413994169096,3235,1.0256388121546962,54.379369820441994,0.12936982044199397,25 m,100 Libre
F,BACKSTROKE,200,125.54,131.08,129.93,135.67,1.0441293611597897,1.0441776341106748,997,1.044852354349561,131.1707645650439,0.09076456504388375,25 m,200 Espalda
F,FREESTYLE,50,24.33,24.86,25.18,25.73,1.021783806000822,1.0218427323272439,3822,1.0252367125835669,24.94400921715818,0.08400921715817944,25 m,50 Libre
M,FREESTYLE,50,21.19,22.05,21.93,22.82,1.0405851816894762,1.0405836753305975,4564,1.033534759748795,21.900601559076968,-0.1493984409230329,50 m,50 Libre
M,BUTTERFLY,100,50.15,51.77,51.91,53.58,1.0323030907278166,1.0321710653053362,2565,1.0277558744677495,51.54195710455764,-0.2280428954423641,50 m,100 Mariposa
F,BACKSTROKE,100,57.52,60.46,59.53,62.58,1.0511126564673157,1.051234671594154,1755,1.045569003330355,60.14112907156203,-0.31887092843797404,50 m,100 Espalda
M,BACKSTROKE,100,50.81,53.94,52.59,55.83,1.0616020468411729,1.0616086708499715,1768,1.054648362509273,53.586683299096165,-0.35331670090383227,50 m,100 Espalda
